valor,comparacoes_fila,comparacoes_heap
371,0,0
691,0,1
266,0,1
735,0,2
188,0,1
594,0,2
377,0,2
661,0,2
703,0,1
526,0,1
128,0,3
521,0,3
797,0,1
642,0,3
234,0,1
756,0,3
204,0,1
387,0,4
592,0,1
240,0,1
712,0,1
532,0,1
142,0,3
579,0,4
413,0,1
363,0,2
24,0,1
483,0,2
61,0,1
913,0,1
511,0,3
25,0,3
738,0,4
657,0,5
249,0,1
251,0,2
866,0,1
575,0,3
769,0,1
246,0,3
194,0,1
875,0,3
506,0,1
544,0,3
432,0,2
819,0,4
701,0,1
515,0,1
811,0,4
694,0,5
14,0,1
865,0,1
609,0,1
112,0,4
675,0,1
495,0,2
394,0,1
796,0,1
612,0,1
288,0,1
101,0,2
220,0,1
286,0,3
492,0,2
228,0,1
543,0,1
678,0,1
272,0,2
54,0,3
633,0,2
422,0,1
347,0,2
66,0,1
728,0,3
317,0,1
222,0,1
577,0,2
766,0,2
607,0,2
276,0,3
787,0,1
47,0,2
360,0,3
209,0,2
4,0,3
154,0,1
765,0,1
842,0,2
109,0,2
553,0,3
450,0,1
7,0,1
225,0,1
467,0,1
508,0,1
415,0,2
522,0,2
162,0,2
315,0,4
873,0,2
424,0,3
917,0,2
106,0,2
58,0,2
503,0,1
780,0,1
235,0,3
571,0,4
433,0,1
278,0,1
779,0,2
788,0,3
598,0,4
484,0,1
850,0,1
134,0,1
348,0,3
95,0,2
680,0,5
918,0,2
775,0,1
648,0,2
370,0,5
306,0,2
299,0,3
376,0,1
655,0,1
884,0,2
921,0,2
742,0,1
719,0,4
36,0,3
307,0,2
733,0,3
99,0,4
588,0,6
84,0,5
771,0,2
552,0,2
478,0,3
449,0,3
623,0,2
616,0,1
439,0,3
166,0,1
817,0,3
292,0,1
335,0,5
208,0,1
906,0,1
744,0,2
172,0,1
282,0,4
764,0,2
704,0,2
831,0,3
505,0,2
895,0,2
516,0,1
117,0,2
555,0,5
462,0,4
353,0,6
126,0,2
852,0,1
915,0,1
805,0,1
767,0,2
615,0,3
187,0,1
163,0,5
140,0,3
244,0,4
369,0,1
711,0,2
238,0,2
512,0,5
107,0,2
745,0,1
618,0,1
826,0,4
688,0,3
835,0,1
91,0,3
177,0,2
806,0,2
391,0,2
812,0,2
801,0,1
603,0,2
734,0,4
383,0,3
750,0,1
32,0,1
190,0,1
566,0,1
844,0,1
389,0,3
73,0,1
538,0,4
509,0,1
197,0,2
310,0,2
693,0,2
653,0,1
202,0,1
0,0,2
795,0,4
258,0,3
569,0,2
59,0,2
871,0,1
15,0,2
789,0,1
38,0,3
699,0,4
709,0,1
200,0,2
461,0,1
373,0,2
273,0,1
113,0,2
602,0,1
12,0,2
519,0,1
1,0,5
429,0,3
138,0,3
294,0,4
104,0,1
329,0,2
52,0,1
855,0,1
554,0,1
530,0,3
513,0,1
480,0,2
620,0,1
705,0,1
773,0,2
308,0,1
232,0,3
191,0,2
746,0,2
431,0,1
825,0,2
774,0,2
255,0,2
847,0,5
417,0,1
851,0,4
843,0,2
514,0,3
832,0,2
406,0,3
89,0,5
34,0,1
647,0,3
74,0,1
148,0,1
174,0,1
280,0,1
8,0,2
604,0,1
637,0,3
899,0,1
98,0,1
782,0,1
599,0,1
325,0,1
489,0,2
772,0,1
496,0,1
815,0,1
751,0,2
754,0,1
672,0,1
127,0,1
350,0,1
781,0,2
46,0,3
872,0,2
181,0,1
5,0,1
356,0,1
761,0,2
216,0,1
320,0,3
858,0,5
463,0,1
749,0,2
63,0,1
231,0,1
451,0,1
160,0,1
68,0,4
176,0,1
120,0,1
78,0,1
305,0,3
687,0,1
205,0,1
262,0,1
372,0,2
631,0,1
448,0,1
102,0,4
581,0,3
392,0,1
435,0,1
848,0,5
31,0,2
893,0,1
486,0,2
168,0,2
507,0,2
215,0,4
863,0,2
667,0,4
426,0,5
206,0,1
573,0,2
23,0,1
337,0,2
644,0,3
298,0,1
157,0,1
159,0,2
211,0,4
645,0,3
695,0,1
487,0,3
302,0,3
710,0,1
613,0,1
562,0,2
510,0,1
76,0,1
237,0,1
145,0,1
341,0,4
726,0,1
403,0,2
11,0,1
198,0,4
331,0,2
53,0,1
585,0,3
291,0,2
762,0,1
786,0,1
226,0,4
316,0,1
572,0,1
853,0,2
318,0,3
263,0,2
90,0,1
846,0,2
440,0,3
94,0,1
778,0,2
798,0,1
910,0,1
640,0,2
118,0,1
75,0,1
185,0,1
9,0,1
560,0,2
313,0,1
546,0,2
93,0,1
153,0,3
867,0,1
135,0,1
60,0,1
627,0,4
570,0,1
396,0,3
673,0,1
207,0,1
794,0,2
807,0,2
203,0,3
758,0,2
925,0,1
898,0,3
129,0,3
783,0,2
879,0,1
646,0,5
696,0,2
303,0,4
715,0,1
859,0,1
285,0,3
878,0,2
152,0,2
624,0,2
833,0,1
905,0,2
713,0,3
115,0,3
563,0,1
810,0,1
651,0,1
465,0,3
28,0,1
290,0,2
854,0,1
888,0,2
427,0,4
659,0,1
436,0,2
549,0,2
283,0,3
638,0,3
264,0,1
682,0,2
755,0,3
50,0,2
410,0,2
770,0,3
528,0,3
16,0,2
323,0,3
916,0,3
802,0,1
131,0,3
261,0,1
838,0,3
518,0,1
49,0,1
708,0,2
418,0,3
809,0,3
720,0,2
254,0,1
402,0,1
909,0,3
165,0,4
425,0,3
27,0,2
641,0,1
816,0,3
702,0,1
269,0,1
328,0,2
401,0,1
326,0,4
900,0,1
725,0,6
119,0,1
407,0,1
539,0,2
593,0,5
558,0,1
731,0,1
685,0,1
357,0,1
471,0,4
820,0,2
430,0,3
804,0,1
479,0,2
355,0,1
124,0,1
894,0,2
670,0,5
173,0,1
156,0,5
891,0,2
714,0,1
453,0,1
110,0,4
175,0,1
196,0,2
885,0,1
727,0,2
85,0,1
352,0,2
311,0,5
378,0,1
474,0,2
469,0,1
880,0,4
763,0,3
500,0,1
57,0,2
385,0,4
776,0,1
409,0,2
924,0,1
605,0,1
870,0,3
583,0,4
717,0,2
548,0,1
517,0,2
83,0,2
836,0,1
277,0,1
367,0,2
42,0,3
48,0,3
760,0,1
180,0,2
421,0,2
39,0,2
223,0,3
468,0,3
681,0,2
40,0,4
170,0,3
799,0,2
882,0,1
501,0,3
322,0,1
587,0,3
828,0,2
813,0,1
17,0,2
229,0,5
803,0,2
629,0,1
482,0,3
886,0,3
114,0,1
44,0,2
82,0,1
676,0,5
171,0,1
565,0,2
3,0,5
669,0,3
849,0,2
545,0,2
210,0,4
857,0,1
96,0,3
108,0,2
724,0,2
626,0,3
908,0,2
541,0,2
271,0,1
721,0,2
274,0,1
390,0,1
608,0,1
596,0,1
630,0,2
41,0,2
580,0,6
716,0,1
100,0,1
122,0,2
161,0,1
475,0,2
132,0,2
868,0,1
20,0,1
300,0,4
611,0,5
184,0,1
606,0,1
692,0,4
830,0,2
664,0,2
67,0,4
901,0,3
547,0,1
488,0,3
29,0,1
167,0,4
914,0,1
339,0,2
125,0,3
636,0,5
256,0,4
183,0,2
498,0,3
404,0,3
821,0,1
51,0,4
524,0,4
412,0,2
759,0,3
314,0,3
897,0,1
736,0,2
257,0,1
265,0,4
55,0,1
722,0,1
354,0,4
697,0,2
344,0,3
601,0,2
267,0,3
343,0,1
434,0,4
445,0,2
252,0,3
368,0,2
130,0,2
527,0,3
491,0,1
837,0,1
143,0,2
224,0,2
743,0,2
823,0,2
683,0,3
146,0,3
351,0,2
732,0,3
149,0,1
621,0,2
834,0,5
10,0,1
457,0,1
597,0,2
227,0,5
133,0,2
459,0,2
155,0,1
531,0,3
639,0,2
81,0,1
70,0,4
297,0,1
790,0,2
590,0,1
559,0,4
361,0,1
525,0,2
253,0,2
578,0,2
454,0,3
80,0,2
768,0,1
877,0,1
397,0,1
890,0,2
542,0,1
428,0,2
218,0,1
677,0,1
753,0,1
490,0,1
856,0,1
883,0,1
556,0,1
281,0,2
182,0,1
458,0,1
650,0,1
247,0,1
358,0,3
365,0,1
359,0,2
400,0,2
564,0,1
116,0,3
212,0,1
103,0,1
437,0,1
684,0,1
635,0,3
158,0,1
729,0,5
740,0,4
793,0,1
748,0,1
241,0,2
534,0,3
19,0,2
881,0,2
379,0,1
327,0,4
869,0,1
912,0,3
150,0,4
384,0,1
259,0,1
464,0,2
349,0,1
656,0,4
398,0,1
800,0,3
876,0,1
845,0,1
919,0,2
574,0,2
723,0,1
785,0,1
456,0,3
151,0,3
460,0,1
582,0,2
141,0,3
304,0,2
698,0,2
679,0,2
840,0,3
671,0,5
111,0,1
861,0,2
219,0,2
497,0,2
889,0,1
199,0,1
338,0,1
443,0,2
319,0,2
193,0,3
862,0,1
660,0,1
144,0,3
268,0,1
700,0,2
493,0,1
26,0,1
617,0,1
690,0,5
123,0,4
275,0,1
652,0,3
97,0,1
568,0,2
213,0,1
43,0,1
420,0,4
321,0,5
270,0,2
827,0,4
71,0,6
481,0,3
829,0,1
892,0,3
399,0,1
864,0,5
164,0,3
22,0,2
393,0,1
747,0,2
293,0,3
737,0,2
250,0,1
446,0,3
476,0,4
499,0,2
345,0,1
822,0,2
86,0,5
473,0,4
922,0,1
654,0,1
557,0,4
668,0,2
442,0,1
689,0,2
178,0,1
137,0,2
189,0,1
380,0,3
309,0,3
21,0,2
896,0,2
37,0,1
79,0,1
485,0,5
614,0,1
64,0,4
707,0,2
455,0,2
296,0,1
610,0,2
336,0,1
381,0,2
643,0,1
537,0,2
730,0,2
860,0,2
665,0,3
334,0,2
551,0,1
632,0,4
295,0,1
342,0,1
245,0,3
920,0,1
56,0,2
301,0,3
502,0,1
663,0,1
591,0,1
466,0,5
438,0,1
192,0,1
340,0,1
619,0,2
416,0,1
30,0,1
105,0,3
374,0,1
718,0,1
65,0,2
674,0,2
903,0,2
561,0,1
923,0,4
472,0,3
550,0,3
447,0,1
622,0,4
686,0,1
907,0,3
824,0,4
72,0,2
362,0,4
411,0,2
408,0,1
628,0,2
35,0,1
405,0,2
18,0,1
576,0,1
741,0,1
230,0,2
289,0,1
662,0,3
201,0,1
634,0,3
136,0,1
395,0,2
904,0,1
6,0,2
87,0,4
649,0,4
839,0,3
441,0,1
88,0,1
239,0,3
77,0,1
121,0,2
13,0,3
333,0,3
2,0,1
260,0,2
818,0,1
139,0,2
179,0,1
346,0,3
666,0,1
477,0,1
243,0,2
375,0,1
233,0,1
242,0,1
784,0,3
504,0,5
221,0,2
382,0,1
62,0,3
33,0,4
757,0,2
752,0,3
186,0,1
535,0,2
739,0,1
287,0,1
217,0,2
494,0,1
600,0,2
902,0,2
533,0,1
332,0,2
312,0,1
284,0,4
540,0,1
792,0,2
814,0,2
586,0,1
92,0,1
589,0,2
388,0,1
330,0,3
423,0,4
324,0,3
874,0,2
658,0,3
195,0,1
536,0,2
520,0,1
366,0,2
386,0,1
444,0,1
911,0,2
147,0,3
706,0,1
625,0,2
567,0,1
364,0,1
529,0,3
584,0,3
791,0,5
414,0,2
777,0,1
595,0,1
887,0,3
470,0,1
419,0,4
169,0,1
808,0,3
45,0,1
248,0,3
236,0,2
214,0,3
69,0,2
279,0,4
523,0,1
452,0,2
841,0,1
