valor_removido,comparacoes_fila,comparacoes_heap
579,925,18
657,924,18
694,923,18
112,922,16
315,921,18
571,920,18
370,919,18
588,918,18
84,917,18
335,916,18
353,915,18
163,914,18
244,913,18
512,912,16
826,911,18
538,910,18
795,909,18
258,908,18
38,907,18
699,906,18
847,905,18
851,904,18
406,903,16
89,902,18
858,901,18
68,900,18
848,899,18
426,898,18
211,897,18
645,896,18
302,895,18
198,894,16
585,893,18
646,892,18
303,891,18
285,890,16
427,889,18
638,888,16
323,887,18
165,886,18
725,885,18
593,884,18
471,883,18
156,882,18
110,881,18
311,880,16
583,879,18
229,878,18
3,877,18
210,876,18
580,875,18
611,874,18
636,873,18
256,872,18
498,871,18
524,870,18
314,869,18
354,868,18
344,867,18
434,866,18
834,865,18
227,864,18
559,863,18
358,862,18
729,861,18
740,860,18
150,859,18
656,858,18
800,857,18
456,856,18
671,855,18
690,854,18
420,853,18
71,852,18
864,851,16
86,850,16
473,849,16
557,848,16
485,847,16
64,846,16
632,845,16
301,844,18
466,843,16
923,842,16
472,841,16
362,840,16
634,839,16
649,838,16
839,837,16
239,836,16
333,835,16
504,834,16
33,833,16
752,832,16
284,831,16
791,830,18
279,829,18
691,828,18
387,827,18
738,826,18
575,825,18
819,824,18
811,823,18
54,822,18
424,821,16
106,820,18
680,819,18
299,818,18
99,817,18
552,816,18
282,815,18
555,814,18
462,813,18
688,812,18
734,811,18
383,810,18
389,809,18
0,808,18
1,807,18
294,806,18
751,805,18
305,804,18
102,803,18
667,802,18
644,801,18
341,800,18
226,799,18
318,798,18
263,797,18
440,796,18
778,795,18
627,794,18
396,793,18
794,792,18
713,791,18
115,790,18
131,789,18
809,788,18
720,787,18
326,786,18
670,785,18
880,784,18
385,783,18
40,782,18
170,781,18
501,780,18
96,779,18
724,778,18
721,777,18
167,776,17
125,775,16
51,774,16
759,773,16
265,772,16
267,771,16
732,770,16
531,769,16
70,768,16
534,767,16
19,766,16
327,765,16
912,764,16
144,763,16
123,762,16
652,761,16
321,760,16
827,759,16
892,758,16
164,757,16
476,756,16
245,755,16
105,754,16
824,753,16
628,752,16
87,751,16
13,750,16
346,749,16
784,748,16
62,747,16
423,746,16
658,745,16
529,744,16
584,743,16
419,742,16
214,741,18
128,740,18
642,739,18
756,738,18
142,737,18
511,736,18
875,735,18
544,734,18
701,733,18
286,732,18
728,731,18
360,730,18
4,729,18
553,728,18
598,727,18
348,726,18
95,725,18
771,724,18
449,723,14
817,722,18
615,721,18
107,720,14
91,719,18
310,718,18
429,717,18
530,716,18
620,715,18
232,714,18
581,713,16
215,712,16
403,711,18
129,710,16
152,709,16
283,708,16
755,707,16
410,706,16
838,705,16
418,704,16
425,703,16
820,702,16
891,701,16
175,700,18
870,699,18
48,698,16
676,697,16
108,696,16
122,695,16
300,694,16
67,693,16
897,692,16
527,691,16
143,690,16
683,689,16
146,688,16
351,687,16
621,686,16
454,685,16
116,684,16
881,683,16
141,682,16
840,681,16
219,680,16
199,679,16
481,678,14
22,677,16
668,676,16
137,675,16
707,674,16
455,673,16
665,672,16
622,671,16
662,670,16
221,669,16
757,668,16
147,667,16
887,666,16
248,665,16
69,664,18
521,663,18
483,662,16
251,661,18
246,660,18
432,659,18
101,658,12
272,657,18
577,656,18
276,655,18
109,654,18
235,653,18
779,652,14
788,651,18
719,650,18
733,649,16
439,648,18
744,647,18
704,646,18
831,645,18
505,644,18
895,643,18
140,642,18
177,641,18
197,640,18
59,639,18
12,638,16
138,637,18
191,636,16
774,635,18
647,634,18
637,633,18
489,632,16
46,631,16
749,630,16
176,629,16
687,628,18
372,627,18
392,626,18
168,625,16
573,624,16
157,623,16
487,622,16
562,621,16
510,620,16
291,619,16
560,618,16
313,617,16
153,616,16
203,615,16
783,614,16
696,613,16
878,612,16
436,611,16
682,610,16
528,609,16
916,608,16
328,607,16
539,606,16
196,605,16
474,604,18
763,603,16
717,602,16
223,601,16
468,600,16
681,599,16
482,598,16
886,597,16
44,596,16
669,595,16
626,594,16
541,593,16
274,592,16
41,591,16
339,590,16
343,589,16
743,588,16
823,587,16
639,586,16
790,585,16
253,584,16
193,583,16
700,582,16
293,581,16
446,580,16
499,579,16
442,578,14
309,577,16
381,576,16
56,575,16
591,574,16
619,573,16
674,572,16
907,571,16
72,570,16
411,569,16
77,568,16
260,567,16
818,566,16
217,565,16
324,564,16
625,563,16
414,562,16
808,561,18
735,560,18
188,559,18
