valor,comparacoes_fila,comparacoes_heap
93,0,0
285,0,1
397,0,1
185,0,2
69,0,2
108,0,1
362,0,2
333,0,2
98,0,1
360,0,3
208,0,2
107,0,1
432,0,1
326,0,1
72,0,3
247,0,1
377,0,2
65,0,2
282,0,1
364,0,2
318,0,1
141,0,1
36,0,1
359,0,1
253,0,3
122,0,3
424,0,1
137,0,2
409,0,1
341,0,1
166,0,2
192,0,3
428,0,1
366,0,4
104,0,3
254,0,1
226,0,2
103,0,2
176,0,3
287,0,2
29,0,2
11,0,2
351,0,3
212,0,1
96,0,1
6,0,1
105,0,1
281,0,2
290,0,3
399,0,3
63,0,1
393,0,2
89,0,1
289,0,1
130,0,1
110,0,1
384,0,2
145,0,1
80,0,2
82,0,2
335,0,1
215,0,1
151,0,1
66,0,3
435,0,2
343,0,4
401,0,3
182,0,1
388,0,3
162,0,2
20,0,1
350,0,3
420,0,3
12,0,2
258,0,1
156,0,3
83,0,2
227,0,4
375,0,1
347,0,2
76,0,2
87,0,1
214,0,2
74,0,3
90,0,1
91,0,1
62,0,1
395,0,3
44,0,2
321,0,1
303,0,2
403,0,1
7,0,1
140,0,2
18,0,1
49,0,2
154,0,3
396,0,2
438,0,1
234,0,2
414,0,1
398,0,1
117,0,1
123,0,2
309,0,3
416,0,2
298,0,1
196,0,3
305,0,1
210,0,1
407,0,1
16,0,3
431,0,5
264,0,2
370,0,2
306,0,2
213,0,1
205,0,2
373,0,1
34,0,2
332,0,4
355,0,3
270,0,1
255,0,1
380,0,3
217,0,1
301,0,3
200,0,2
276,0,3
94,0,1
252,0,1
189,0,2
201,0,1
22,0,1
50,0,1
382,0,2
121,0,1
195,0,4
323,0,1
40,0,3
296,0,1
392,0,1
421,0,1
412,0,2
84,0,3
35,0,1
191,0,1
139,0,4
248,0,1
436,0,1
413,0,2
187,0,1
425,0,2
243,0,1
363,0,1
286,0,1
51,0,1
383,0,2
315,0,3
77,0,2
15,0,2
275,0,4
288,0,1
405,0,1
124,0,1
146,0,2
299,0,1
418,0,1
88,0,2
328,0,2
85,0,1
381,0,2
245,0,2
60,0,3
223,0,2
0,0,2
32,0,1
14,0,5
237,0,2
118,0,2
317,0,3
246,0,2
171,0,2
422,0,1
9,0,1
115,0,4
180,0,1
92,0,2
25,0,1
73,0,1
394,0,3
268,0,2
21,0,3
256,0,5
112,0,1
386,0,3
167,0,3
114,0,1
134,0,1
193,0,4
238,0,1
385,0,1
280,0,1
8,0,3
433,0,2
230,0,1
181,0,2
2,0,3
155,0,2
153,0,1
236,0,1
132,0,1
358,0,1
368,0,2
369,0,2
249,0,1
372,0,2
367,0,1
168,0,1
266,0,5
164,0,1
378,0,2
113,0,1
391,0,5
13,0,1
158,0,2
27,0,1
126,0,2
330,0,5
45,0,3
235,0,1
41,0,1
149,0,2
262,0,2
430,0,1
120,0,4
142,0,1
127,0,2
291,0,1
387,0,1
28,0,2
337,0,1
133,0,1
64,0,3
116,0,1
178,0,1
313,0,2
100,0,1
411,0,3
225,0,1
353,0,2
70,0,4
183,0,2
233,0,2
102,0,3
216,0,2
410,0,2
19,0,3
417,0,2
194,0,3
163,0,2
348,0,3
86,0,2
311,0,4
53,0,1
434,0,2
356,0,1
427,0,1
361,0,2
148,0,1
58,0,1
251,0,4
174,0,3
203,0,2
97,0,2
267,0,1
331,0,3
173,0,2
320,0,1
184,0,1
99,0,1
54,0,1
38,0,2
259,0,1
334,0,1
42,0,1
408,0,1
250,0,4
206,0,1
371,0,1
261,0,1
278,0,3
39,0,4
273,0,2
3,0,2
57,0,2
59,0,1
24,0,2
144,0,1
222,0,2
177,0,1
160,0,1
357,0,1
23,0,3
136,0,1
1,0,2
319,0,1
400,0,2
419,0,3
228,0,1
55,0,5
125,0,1
346,0,1
308,0,2
232,0,1
402,0,1
365,0,2
4,0,3
240,0,1
165,0,2
67,0,1
152,0,2
204,0,1
312,0,1
48,0,1
17,0,1
338,0,2
241,0,2
157,0,3
379,0,1
10,0,1
269,0,1
33,0,5
219,0,3
344,0,1
322,0,2
231,0,1
342,0,1
307,0,1
207,0,1
327,0,2
198,0,1
199,0,2
109,0,3
172,0,2
329,0,1
292,0,1
277,0,2
209,0,1
229,0,1
56,0,3
293,0,3
190,0,1
310,0,2
147,0,4
239,0,2
129,0,3
339,0,2
265,0,2
244,0,2
218,0,3
188,0,3
111,0,2
340,0,3
128,0,2
71,0,1
95,0,2
101,0,1
211,0,1
336,0,1
437,0,4
295,0,1
169,0,3
429,0,1
46,0,1
170,0,3
404,0,3
260,0,1
406,0,1
138,0,1
325,0,3
284,0,1
202,0,1
161,0,2
186,0,3
47,0,3
31,0,2
81,0,1
279,0,1
197,0,1
175,0,3
78,0,3
68,0,1
389,0,1
143,0,2
349,0,1
179,0,3
52,0,2
271,0,2
324,0,1
221,0,1
300,0,2
415,0,1
263,0,1
354,0,1
352,0,2
79,0,5
26,0,3
224,0,3
316,0,1
106,0,2
302,0,3
376,0,1
135,0,2
61,0,1
283,0,3
5,0,1
220,0,2
119,0,4
297,0,2
150,0,1
272,0,3
390,0,1
374,0,3
75,0,1
304,0,1
294,0,2
43,0,5
257,0,1
159,0,1
131,0,1
426,0,5
274,0,1
37,0,2
30,0,1
345,0,2
314,0,3
242,0,1
423,0,1
