valor_removido,comparacoes_fila,comparacoes_heap
69,438,16
360,437,16
208,436,16
72,435,16
122,434,16
366,433,16
351,432,16
343,431,16
401,430,16
227,429,16
74,428,16
431,427,16
332,426,16
355,425,16
195,424,16
139,423,16
60,422,16
14,421,16
115,420,16
394,419,16
256,418,16
266,417,16
330,416,16
64,415,14
313,414,14
70,413,14
102,412,16
251,411,14
174,410,14
39,409,14
55,408,14
33,407,14
56,406,14
437,405,14
169,404,14
43,403,16
426,402,16
285,401,16
364,400,16
36,399,16
253,398,14
176,397,16
6,396,16
399,395,16
403,394,16
309,393,16
416,392,16
196,391,16
301,390,16
40,389,16
315,388,16
275,387,16
88,386,16
328,385,16
223,384,16
317,383,16
167,382,16
391,381,16
45,380,16
120,379,16
233,378,16
311,377,16
97,376,16
331,375,14
173,374,14
250,373,14
4,372,14
219,371,14
109,370,14
147,369,14
188,368,14
111,367,14
340,366,14
404,365,14
325,364,14
78,363,14
143,362,14
79,361,14
119,360,14
314,359,16
362,358,16
424,357,16
137,356,16
104,355,16
29,354,16
11,353,16
80,352,16
388,351,16
162,350,16
420,349,16
12,348,16
156,347,16
83,346,16
76,345,16
214,344,16
395,343,16
154,342,16
305,341,16
276,340,16
84,339,16
413,338,16
15,337,16
146,336,14
180,335,14
386,334,14
193,333,16
8,332,14
2,331,14
369,330,14
158,329,14
411,328,14
183,327,14
348,326,16
86,325,14
434,324,14
203,323,14
278,322,14
222,321,14
23,320,14
1,319,14
319,318,14
419,317,14
152,316,14
327,315,14
172,314,14
129,313,14
128,312,14
429,311,14
175,310,14
179,309,14
271,308,14
224,307,14
302,306,14
283,305,16
333,304,16
65,303,16
103,302,2
287,301,16
290,300,16
66,299,16
20,298,16
350,297,16
258,296,14
140,295,14
18,294,14
234,293,16
205,292,14
50,291,14
392,290,14
436,289,14
425,288,14
363,287,14
299,286,10
245,285,16
9,284,14
21,283,14
142,282,14
353,281,14
19,280,14
417,279,14
356,278,14
320,277,14
177,276,14
160,275,14
357,274,14
228,273,14
308,272,14
157,271,14
199,270,16
265,269,14
218,268,14
170,267,14
202,266,14
47,265,14
31,264,14
300,263,14
106,262,14
220,261,14
257,260,14
345,259,14
282,258,14
166,257,14
192,256,14
82,255,14
335,254,14
435,253,14
87,252,14
90,251,14
7,250,14
396,249,14
414,248,10
370,247,14
34,246,14
270,245,14
380,244,14
421,243,14
237,242,10
73,241,14
27,240,14
127,239,14
291,238,14
28,237,14
337,236,14
410,235,14
194,234,14
184,233,14
38,232,14
3,231,14
136,230,12
165,229,12
204,228,14
338,227,12
322,226,12
231,225,12
339,224,12
95,223,12
336,222,12
389,221,12
52,220,12
272,219,12
374,218,14
294,217,14
397,216,14
318,215,14
226,214,14
130,213,14
215,212,10
303,211,14
210,210,14
16,209,14
306,208,14
255,207,12
200,206,14
189,205,14
201,204,14
382,203,14
412,202,14
51,201,14
383,200,14
77,199,14
381,198,14
422,197,14
112,196,14
372,195,14
367,194,14
13,193,14
262,192,14
133,191,14
100,190,12
163,189,12
361,188,12
42,187,12
408,186,12
24,185,12
232,184,12
269,183,12
207,182,12
293,181,12
310,180,12
101,179,12
186,178,12
26,177,12
135,176,14
108,175,14
409,174,14
347,173,14
44,172,14
373,171,14
296,170,14
286,169,14
0,168,14
118,167,12
171,166,12
92,165,14
25,164,12
385,163,14
433,162,12
181,161,12
155,160,12
368,159,12
168,158,12
149,157,12
225,156,14
58,155,12
99,154,12
206,153,12
261,152,12
273,151,12
57,150,12
144,149,12
400,148,12
241,147,12
229,146,12
190,145,12
239,144,12
244,143,10
197,142,12
68,141,12
354,140,10
37,139,12
185,138,14
107,137,12
377,136,12
141,135,12
105,134,12
281,133,14
63,132,12
393,131,12
89,130,12
151,129,12
49,128,12
438,127,12
117,126,2
123,125,6
213,124,12
217,123,12
22,122,12
323,121,12
35,120,12
243,119,12
418,118,12
85,117,10
32,116,12
246,115,12
358,114,10
164,113,12
378,112,12
113,111,12
126,110,12
53,109,12
148,108,12
54,107,12
259,106,2
59,105,10
125,104,12
365,103,10
240,102,10
312,101,10
344,100,10
277,99,10
260,98,10
138,97,10
221,96,10
352,95,10
75,94,4
159,93,12
93,92,12
432,91,12
341,90,12
428,89,10
384,88,12
145,87,12
375,86,12
91,85,10
62,84,8
398,83,12
298,82,12
407,81,10
264,80,12
94,79,12
121,78,2
191,77,10
248,76,10
405,75,8
124,74,6
268,73,10
134,72,10
238,71,10
280,70,10
230,69,8
132,68,10
235,67,10
387,66,10
178,65,10
216,64,8
334,63,6
402,62,4
379,61,10
342,60,10
198,59,10
329,58,2
292,57,8
209,56,2
211,55,10
295,54,8
46,53,6
161,52,8
81,51,8
279,50,8
415,49,8
263,48,8
297,47,8
150,46,6
390,45,4
304,44,2
98,43,2
326,42,2
247,41,2
359,40,2
254,39,2
212,38,2
96,37,2
289,36,2
110,35,2
182,34,2
321,33,2
252,32,2
187,31,2
288,30,2
114,29,2
153,28,2
236,27,2
249,26,2
41,25,2
430,24,2
116,23,2
427,22,2
267,21,2
371,20,2
346,19,2
67,18,2
48,17,2
17,16,2
10,15,2
307,14,2
71,13,2
406,12,2
284,11,2
349,10,2
324,9,2
316,8,2
376,7,2
61,6,2
5,5,2
131,4,2
274,3,2
30,2,1
242,1,0
423,0,0
